Core: mem1_altera_emif_arch_nd_191_ok5gedq - Instance: u50|u1|emif_s10_0
Path, Setup Margin, Hold Margin
"Address/Command (2 Slow vid2 100C Model)",0.176,0.176
"Core (2 Slow vid2 100C Model)",0.47,0.125
"Core Recovery/Removal (2 Slow vid2 100C Model)",0.888,1.578
"DQS Gating (2 Slow vid2 100C Model)",0.113,0.113
"Read Capture (2 Slow vid2 100C Model)",0.011,0.011
"Write (2 Slow vid2 100C Model)",0.035,0.035
"Write Levelling (2 Slow vid2 100C Model)",0.128,0.128
"Address/Command (2 Slow vid2 0C Model)",0.176,0.176
"Core (2 Slow vid2 0C Model)",0.601,0.054
"Core Recovery/Removal (2 Slow vid2 0C Model)",0.918,1.535
"DQS Gating (2 Slow vid2 0C Model)",0.113,0.113
"Read Capture (2 Slow vid2 0C Model)",0.011,0.011
"Write (2 Slow vid2 0C Model)",0.035,0.035
"Write Levelling (2 Slow vid2 0C Model)",0.128,0.128
"Address/Command (Slow 900mV 0C Model)",0.176,0.176
"Core (Slow 900mV 0C Model)",0.4,0.012
"Core Recovery/Removal (Slow 900mV 0C Model)",0.594,1.741
"DQS Gating (Slow 900mV 0C Model)",0.113,0.113
"Read Capture (Slow 900mV 0C Model)",0.011,0.011
"Write (Slow 900mV 0C Model)",0.035,0.035
"Write Levelling (Slow 900mV 0C Model)",0.128,0.128
"Address/Command (Fast 900mV 100C Model)",0.176,0.176
"Core (Fast 900mV 100C Model)",0.507,0.028
"Core Recovery/Removal (Fast 900mV 100C Model)",1.248,1.365
"DQS Gating (Fast 900mV 100C Model)",0.113,0.113
"Read Capture (Fast 900mV 100C Model)",0.011,0.011
"Write (Fast 900mV 100C Model)",0.035,0.035
"Write Levelling (Fast 900mV 100C Model)",0.128,0.128
"Address/Command (Fast 900mV 0C Model)",0.176,0.176
"Core (Fast 900mV 0C Model)",0.926,0.074
"Core Recovery/Removal (Fast 900mV 0C Model)",1.529,1.153
"DQS Gating (Fast 900mV 0C Model)",0.113,0.113
"Read Capture (Fast 900mV 0C Model)",0.011,0.011
"Write (Fast 900mV 0C Model)",0.035,0.035
"Write Levelling (Fast 900mV 0C Model)",0.128,0.128
